Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
L. Messi,Lionel Messi,91,54000000,CAM,Argentina,35,Paris Saint-Germain,2021
K. Benzema,Karim Benzema,91,64000000,CF,France,34,Real Madrid CF,2009
R. Lewandowski,Robert Lewandowski,91,84000000,ST,Poland,33,FC Barcelona,2022
K. De Bruyne,Kevin De Bruyne,91,107500000,CM,Belgium,31,Manchester City,2015
K. Mbappé,Kylian Mbappé,91,190500000,ST,France,23,Paris Saint-Germain,2018
M. Salah,Mohamed Salah,90,115500000,RW,Egypt,30,Liverpool,2017
T. Courtois,Thibaut Courtois,90,90000000,GK,Belgium,30,Real Madrid CF,2018
M. Neuer,Manuel Neuer,90,13500000,GK,Germany,36,FC Bayern München,2011
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,41000000,ST,Portugal,37,Manchester United,2021
V. van Dijk,Virgil van Dijk,90,98000000,CB,Netherlands,30,Liverpool,2018
H. Kane,Harry Kane,89,105500000,ST,England,28,Tottenham Hotspur,2010
Neymar Jr,Neymar da Silva Santos Jr.,89,99500000,LW,Brazil,30,Paris Saint-Germain,2017
H. Son,Heung Min Son,89,101000000,LW,Korea Republic,29,Tottenham Hotspur,2015
Casemiro,Carlos Henrique Venancio Casimiro,89,86000000,CDM,Brazil,30,Manchester United,2022
J. Oblak,Jan Oblak,89,85500000,GK,Slovenia,29,Atlético de Madrid,2014
S. Mané,Sadio Mané,89,99500000,LM,Senegal,30,FC Bayern München,2022
Ederson,Ederson Santana de Moraes,89,88000000,GK,Brazil,28,Manchester City,2017
J. Kimmich,Joshua Kimmich,89,105500000,CDM,Germany,27,FC Bayern München,2015
Alisson,Alisson Ramses Becker,89,79000000,GK,Brazil,29,Liverpool,2018
N. Kanté,N'Golo Kanté,89,72000000,CDM,France,31,Chelsea,2016
Rúben Dias,Rúben Santos Gato Alves Dias,88,107500000,CB,Portugal,25,Manchester City,2020
E. Haaland,Erling Haaland,88,148000000,ST,Norway,21,Manchester City,2022
G. Donnarumma,Gianluigi Donnarumma,88,103500000,GK,Italy,23,Paris Saint-Germain,2021
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,97500000,CAM,Portugal,27,Manchester City,2017
João Cancelo,João Pedro Cavaco Cancelo,88,82500000,LB,Portugal,28,Manchester City,2019
Marquinhos,Marcos Aoás Corrêa,88,92000000,CB,Brazil,28,Paris Saint-Germain,2013
K. Navas,Keylor Navas,88,10000000,GK,Costa Rica,35,Paris Saint-Germain,2019
M. ter Stegen,Marc-André ter Stegen,88,68500000,GK,Germany,30,FC Barcelona,2014
T. Kroos,Toni Kroos,88,72000000,CM,Germany,32,Real Madrid CF,2014
L. Modrić,Luka Modrić,88,29000000,CM,Croatia,36,Real Madrid CF,2012
A. Rüdiger,Antonio Rüdiger,87,73500000,CB,Germany,29,Real Madrid CF,2022
Rodri,Rodrigo Hernández Cascante,87,88500000,CDM,Spain,26,Manchester City,2019
Fabinho,Fábio Henrique Tavares,87,77000000,CDM,Brazil,28,Liverpool,2018
H. Lloris,Hugo Lloris,87,9000000,GK,France,35,Tottenham Hotspur,2012
T. Müller,Thomas Müller,87,63000000,CAM,Germany,32,FC Bayern München,2008
De Gea,David De Gea Quintana,87,42000000,GK,Spain,31,Manchester United,2011
M. Verratti,Marco Verratti,87,77500000,CM,Italy,29,Paris Saint-Germain,2012
M. Maignan,Mike Maignan,87,80000000,GK,France,26,AC Milan,2021
T. Alexander-Arnold,Trent Alexander-Arnold,87,100500000,CM,England,23,Liverpool,2015
A. Robertson,Andrew Robertson,87,72000000,LB,Scotland,28,Liverpool,2017
K. Koulibaly,Kalidou Koulibaly,87,54500000,CB,Senegal,31,Chelsea,2022
L. Goretzka,Leon Goretzka,87,91000000,CM,Germany,27,FC Bayern München,2018
F. de Jong,Frenkie de Jong,87,116500000,CM,Netherlands,25,FC Barcelona,2019
Thiago,Thiago Alcântara,86,55500000,CM,Spain,31,Liverpool,2020
C. Immobile,Ciro Immobile,86,55000000,ST,Italy,32,Lazio,2016
R. Lukaku,Romelu Lukaku,86,68000000,ST,Belgium,29,Inter,2021
D. Alaba,David Alaba,86,55500000,CB,Austria,30,Real Madrid CF,2021
R. Sterling,Raheem Sterling,86,72500000,LW,England,27,Chelsea,2022
R. Mahrez,Riyad Mahrez,86,56500000,RW,Algeria,31,Manchester City,2018
P. Dybala,Paulo Dybala,86,69500000,CAM,Argentina,28,Roma,2022
Thiago Silva,Thiago Emiliano da Silva,86,12000000,CB,Brazil,37,Chelsea,2020
W. Szczęsny,Wojciech Szczęsny,86,33500000,GK,Poland,32,Juventus,2017
K. Trapp,Kevin Trapp,86,36000000,GK,Germany,31,Eintracht Frankfurt,2019
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,72500000,CAM,Portugal,27,Manchester United,2020
Parejo,Daniel Parejo Muñoz,86,42000000,CM,Spain,33,Villarreal CF,2020
A. Laporte,Aymeric Laporte,86,64500000,CB,Spain,28,Manchester City,2018
K. Coman,Kingsley Coman,86,80000000,LM,France,26,FC Bayern München,2015
M. Brozović,Marcelo Brozović,86,58000000,CDM,Croatia,29,Inter,2016
N. Barella,Nicolò Barella,86,89500000,CM,Italy,25,Inter,2020
L. Martínez,Lautaro Martínez,86,98500000,ST,Argentina,24,Inter,2018
M. Škriniar,Milan Škriniar,86,68500000,CB,Slovakia,27,Inter,2017
C. Nkunku,Christopher Nkunku,86,94000000,CAM,France,24,RB Leipzig,2019
É. Mendy,Édouard Mendy,86,51000000,GK,Senegal,30,Chelsea,2020
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,109000000,LW,Brazil,21,Real Madrid CF,2018
S. Milinković-Savić,Sergej Milinković-Savić,86,77500000,CM,Serbia,27,Lazio,2015
N. Süle,Niklas Süle,85,59000000,CB,Germany,26,Borussia Dortmund,2022
N. Fekir,Nabil Fekir,85,54500000,CAM,France,28,Real Betis Balompié,2019
S. Gnabry,Serge Gnabry,85,59000000,RM,Germany,26,FC Bayern München,2017
İ. Gündoğan,İlkay Gündoğan,85,44000000,CM,Germany,31,Manchester City,2016
K. Walker,Kyle Walker,85,37500000,RB,England,32,Manchester City,2017
P. Aubameyang,Pierre-Emerick Aubameyang,85,34500000,ST,Gabon,33,Chelsea,2022
Jordi Alba,Jordi Alba Ramos,85,28000000,LB,Spain,33,FC Barcelona,2012
Sergio Busquets,Sergio Busquets Burgos,85,26500000,CDM,Spain,33,FC Barcelona,2008
Iago Aspas,Iago Aspas Juncal,85,26000000,ST,Spain,34,RC Celta de Vigo,2015
P. Pogba,Paul Pogba,85,52500000,CM,France,29,Juventus,2022
M. Depay,Memphis Depay,85,55000000,CF,Netherlands,28,FC Barcelona,2021
Jorginho,Luiz Frello Filho Jorge,85,51500000,CM,Italy,30,Chelsea,2018
M. Acuña,Marcos Acuña,85,46500000,LB,Argentina,30,Sevilla FC,2020
Gerard Moreno,Gerard Moreno Balagueró,85,53000000,ST,Spain,30,Villarreal CF,2018
Y. Carrasco,Yannick Carrasco,85,54500000,LM,Belgium,28,Atlético de Madrid,2020
F. Kostić,Filip Kostić,85,53000000,LM,Serbia,29,Juventus,2022
J. Vardy,Jamie Vardy,85,23000000,ST,England,35,Leicester City,2012
Pedri,Pedro González López,85,116000000,CM,Spain,19,FC Barcelona,2020
P. Foden,Phil Foden,85,109500000,CAM,England,22,Manchester City,2016
